schema_version,source_file,source_line,raw_sha256,topic,received_at,retained,batch_id,message_id,site_id,zone,asset_type,sensor,measured_at,value,unit,sequence
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,1,378586473beb0b4cd9664d8cead9edb6412dab546697803ed2e470ac4f1f3e5a,airbase/batch001/battery-shelter-01/temperature/0000,2026-10-12T10:05:00Z,True,mission-readiness-001,battery-shelter-01-0000,base-projetee-alpha,battery-shelter-01,drone_battery_storage,temperature,2026-10-12T09:50:00Z,33.8,celsius,0
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,2,ab7eb95a75d18f07baf7987af21402b554945a40038e6e268f31bbcaa44439e3,airbase/batch001/battery-shelter-01/temperature/0001,2026-10-12T10:05:00Z,True,mission-readiness-001,battery-shelter-01-0001,base-projetee-alpha,battery-shelter-01,drone_battery_storage,temperature,2026-10-12T09:55:00Z,34.6,celsius,1
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,3,31165e502484e53115cb9d9135eb96ac453cb97be0419a7164ae319349dd0a04,airbase/batch001/battery-shelter-01/temperature/0002,2026-10-12T10:05:00Z,True,mission-readiness-001,battery-shelter-01-0002,base-projetee-alpha,battery-shelter-01,drone_battery_storage,temperature,2026-10-12T10:00:00Z,35.4,celsius,2
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,4,83fff72826f089ceadde1993ead323f0759044b679f9bff2f1dc8be474d7fd0b,airbase/batch001/comms-shelter-01/temperature/0000,2026-10-12T10:05:00Z,True,mission-readiness-001,comms-shelter-01-0000,base-projetee-alpha,comms-shelter-01,communications,temperature,2026-10-12T09:50:00Z,29.2,celsius,0
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,5,b13d0fe98d52be69d665fb7a6f7b4cc98648152d70118dfa31bef85975c3a1a5,airbase/batch001/comms-shelter-01/temperature/0001,2026-10-12T10:05:00Z,True,mission-readiness-001,comms-shelter-01-0001,base-projetee-alpha,comms-shelter-01,communications,temperature,2026-10-12T09:55:00Z,29.5,celsius,1
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,6,84deff634619836bb238c134305516abed7ff086011e45f56d91b9f1853f5269,airbase/batch001/comms-shelter-01/temperature/0002,2026-10-12T10:05:00Z,True,mission-readiness-001,comms-shelter-01-0002,base-projetee-alpha,comms-shelter-01,communications,temperature,2026-10-12T10:00:00Z,29.7,celsius,2
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,7,3d8950b4c5f07257f5015f2c56d69989e67b2da8efb02ef4582b4cb75a1c3a90,airbase/batch001/it-room-01/temperature/0000,2026-10-12T10:05:00Z,True,mission-readiness-001,it-room-01-0000,base-projetee-alpha,it-room-01,tactical_it,temperature,2026-10-12T09:50:00Z,31.0,celsius,0
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,8,1ba92748de8c434648255f130a3ab5e83d68b6dd5858c575f2ad25f3aae5ba72,airbase/batch001/it-room-01/temperature/0001,2026-10-12T10:05:00Z,True,mission-readiness-001,it-room-01-0001,base-projetee-alpha,it-room-01,tactical_it,temperature,2026-10-12T09:55:00Z,31.4,celsius,1
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,9,7f7e72f13f01aa333af6125ef384be110a5922f257d0a63d61150028d190d6d6,airbase/batch001/it-room-01/temperature/0002,2026-10-12T10:05:00Z,True,mission-readiness-001,it-room-01-0002,base-projetee-alpha,it-room-01,tactical_it,temperature,2026-10-12T10:00:00Z,31.8,celsius,2
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,10,b0825b9d683bc608ae256cd6b8d4b5467109ec25a219341ce66f5b386f2de1bf,airbase/batch001/maintenance-zone-01/temperature/0000,2026-10-12T10:05:00Z,True,mission-readiness-001,maintenance-zone-01-0000,base-projetee-alpha,maintenance-zone-01,light_maintenance,temperature,2026-10-12T09:50:00Z,30.1,celsius,0
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,11,4d44cb3b6ee5f85fd41aaab1cb0da6423404ab1370176101afa7970997950558,airbase/batch001/maintenance-zone-01/temperature/0001,2026-10-12T10:05:00Z,True,mission-readiness-001,maintenance-zone-01-0001,base-projetee-alpha,maintenance-zone-01,light_maintenance,temperature,2026-10-12T09:55:00Z,30.4,celsius,1
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,12,127f7c6b89dda19a38ef9d0166c8aa840e74c32ae19a726920bcec7c04e727e9,airbase/batch001/maintenance-zone-01/temperature/0002,2026-10-12T10:05:00Z,True,mission-readiness-001,maintenance-zone-01-0002,base-projetee-alpha,maintenance-zone-01,light_maintenance,temperature,2026-10-12T10:00:00Z,30.5,celsius,2
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,13,470c391950fc279c5813e1aefc803276d0465c51b378f302cf48bc63a923ae01,airbase/batch001/optronics-shelter-01/temperature/0000,2026-10-12T10:05:00Z,True,mission-readiness-001,optronics-shelter-01-0000,base-projetee-alpha,optronics-shelter-01,optronics,temperature,2026-10-12T08:50:00Z,27.8,celsius,0
s03-v1,C:/Users/Benjamin.Dalmas/PycharmProjects/course_SFN/cours_SFN/course-iot-decision/data/samples/batch001_messages.jsonl,14,b9a66b6fd25cbbc498de62dbfb3a29bceef9c7757fe8fc4184e3b4817f014d2b,airbase/batch001/optronics-shelter-01/temperature/0001,2026-10-12T10:05:00Z,True,mission-readiness-001,optronics-shelter-01-0001,base-projetee-alpha,optronics-shelter-01,optronics,temperature,2026-10-12T08:55:00Z,28.0,celsius,1
